A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A14,Class
b,,5.326172665,y,p,no_cc,v,1.996579579,f,835,f,t,135464,1
d,69,2.424705036,?,g,no_cc,t,0.7620800667,f,822,t,t,112949,1
a,46,2.692432309,y,p,no_cc,t,4.962417511,t,751,f,f,90744,1
c,32,3.772841631,y,g,cc,t,4.63500484,t,730,t,f,53455,0
a,60,0.2007119778,y,p,cc,v,2.699785651,t,832,t,f,135217,1
c,25,3.220791656,y,g,no_cc,t,4.210166472,t,592,f,f,48018,0
d,38,2.11448007,u,g,cc,t,2.604789886,f,400,f,t,74219,0
a,56,3.274973522,y,g,no_cc,v,3.11792844,t,801,f,f,65991,0
b,36,1.197621318,y,p,no_cc,v,0.4456221606,t,603,t,f,93616,1
d,40,8.905272807,u,p,cc,v,3.776352102,t,839,f,t,107438,0
b,28,5.935924536,y,p,cc,v,0.6385674182,f,654,f,f,136841,1
b,28,6.791023191,y,p,cc,v,4.130338151,f,602,f,f,29486,1
b,41,7.891712386,y,g,no_cc,t,3.910140438,t,795,t,t,58862,0
d,53,4.984421989,y,p,cc,t,3.543723489,t,526,f,t,141662,0
c,57,0.8692028809,u,g,cc,v,0.1808019026,t,535,t,f,78870,0
b,41,5.371065418,y,p,cc,t,1.51564178,t,754,t,f,106694,1
d,20,5.86841118,u,p,cc,t,1.31556285,f,312,f,f,125996,1
c,39,7.454394742,y,p,cc,v,1.800682037,t,509,t,f,63856,0
d,19,4.316595462,y,g,no_cc,v,0.4382137338,f,696,t,t,121407,1
c,41,1.275803028,u,p,no_cc,v,4.684789115,t,399,t,t,120744,0
b,61,2.837759058,u,g,cc,v,2.769011204,f,330,f,f,106055,1
c,47,3.630822964,y,g,no_cc,t,1.527621553,t,827,t,f,51379,0
b,55,6.459172413,y,g,cc,t,1.984907585,t,628,t,t,84729,1
c,19,5.707783047,y,g,cc,t,2.236012703,f,465,f,f,48378,0
c,38,3.560967259,y,g,cc,v,3.002971667,t,758,t,t,125428,1
a,50,9.865152488,y,p,no_cc,v,2.578397138,t,399,t,t,74353,0
c,29,6.057748194,u,g,cc,v,4.596959866,f,472,t,t,69996,0
c,39,2.372267917,y,p,no_cc,v,2.484817415,t,461,t,t,34031,0
c,61,1.017824726,u,p,cc,t,4.960790074,t,562,f,t,100072,0
b,42,1.528591392,y,g,cc,t,4.257124789,t,573,t,f,85982,0
b,66,2.459577284,y,p,no_cc,t,1.042552572,t,302,f,f,56683,0
d,44,1.606813733,u,g,no_cc,t,4.652976073,f,327,t,f,134091,1
a,59,1.865670241,y,p,cc,t,0.5818319894,t,625,f,t,137797,1
b,45,2.850951687,y,g,no_cc,t,4.087248542,t,448,f,t,37618,0
a,33,1.733735953,u,p,no_cc,v,1.903116467,f,839,f,f,26587,1
a,32,8.967654246,y,g,cc,v,4.389871602,t,787,t,t,82790,0
c,64,0.8023374566,u,g,no_cc,t,4.340283451,f,737,t,f,51480,1
b,68,5.245113896,y,g,cc,t,4.029627001,f,364,f,f,118530,1
d,61,4.10396827,y,p,no_cc,t,3.950152182,f,655,f,t,40527,1
b,69,9.823786169,u,p,cc,v,1.523395695,t,832,t,f,43569,0
c,20,1.120389022,u,p,cc,v,0.4045964153,t,551,f,f,31151,0
d,54,3.97855599,y,p,no_cc,v,2.014900894,f,534,f,t,91094,1
a,68,9.694704333,y,p,no_cc,t,0.8676225749,t,526,t,f,79174,0
c,24,8.655071259,y,g,cc,v,3.474755445,t,824,t,t,64739,0
c,38,8.170720709,y,g,no_cc,t,1.730498633,f,612,f,f,52954,0
a,26,2.57902827,y,p,no_cc,t,4.878051004,f,348,f,t,132984,1
b,56,1.708875874,y,p,no_cc,t,3.204860387,f,417,f,t,132863,1
b,35,6.686432199,y,g,no_cc,v,4.112402818,f,353,t,f,129373,1
d,21,9.293759891,u,p,cc,t,0.6626233637,f,343,f,t,55303,0
b,42,5.56762893,y,g,no_cc,v,4.310072411,f,352,t,f,54700,0
a,31,5.716126895,u,p,cc,t,4.613785953,f,824,t,f,113036,1
d,67,2.799790937,y,g,no_cc,t,2.435309594,f,401,t,t,143728,1
b,26,7.694929332,u,p,cc,v,3.031264689,t,697,t,t,87568,0
d,43,1.870437486,u,p,cc,t,3.824049005,f,437,f,t,86788,1
c,19,3.236792364,u,g,cc,v,0.8741931363,t,686,f,f,91045,1
b,37,4.254364386,y,g,cc,t,2.512830382,f,410,t,t,57842,0
c,45,5.076103787,y,p,cc,t,1.993315139,t,316,f,t,33900,0
d,64,2.424097324,y,g,no_cc,t,0.7318699608,f,481,f,t,147992,1
d,24,1.148368247,u,p,no_cc,t,1.837672111,f,835,t,t,100059,1
b,61,6.106200424,u,g,cc,t,0.3408615469,t,840,t,f,21881,0
a,25,2.886305532,u,g,cc,v,0.1290595347,t,470,t,f,53037,0
d,64,5.812382214,u,g,cc,t,0.6758314458,f,708,f,f,21630,1
d,52,1.543627153,y,p,cc,v,4.815575558,t,677,t,f,40789,0
a,31,4.811401019,y,g,no_cc,t,2.747647679,t,487,t,t,146083,0
b,34,5.325894326,y,g,no_cc,t,4.829110806,t,529,t,f,108059,0
c,53,0.5182353682,u,g,no_cc,t,2.162489392,t,418,t,f,103494,0
c,67,3.366042782,y,p,no_cc,v,1.559080665,t,455,t,t,66151,0
c,57,1.344146769,y,p,cc,t,2.530709314,t,764,t,f,68920,0
c,21,0.6337497047,u,g,no_cc,v,2.197558443,f,403,f,t,129388,1
c,19,9.899602324,u,p,cc,v,0.5283234213,f,801,f,t,87231,1
c,23,3.22353845,u,g,no_cc,t,3.204131573,f,474,t,f,137946,1
d,59,8.098744459,y,p,no_cc,t,1.080190913,t,720,f,f,100357,0
d,21,2.546406548,y,g,cc,t,3.097939774,f,433,t,t,23262,0
d,46,6.815027222,u,p,cc,t,3.251005462,f,690,f,t,86981,1
c,35,7.602278599,y,p,no_cc,v,0.7601242656,f,800,t,f,140951,1
d,43,5.956387406,u,g,no_cc,t,0.3067481356,f,332,f,t,143099,1
c,61,4.715761886,y,p,no_cc,t,3.90380793,t,354,t,t,101972,0
a,51,4.118409141,y,g,no_cc,v,2.299002119,t,818,f,f,95485,1
b,27,3.488682665,y,p,no_cc,v,0.2908189775,f,311,f,f,74722,0
c,53,9.295291442,y,g,no_cc,t,4.974331586,t,827,t,t,109499,0
b,31,8.306194078,u,p,cc,t,0.288902805,t,672,f,t,70818,0
d,48,9.650269107,u,p,cc,v,3.475176144,f,783,t,t,49932,0
c,65,1.242972235,u,g,cc,v,4.918394626,f,527,t,f,26901,0
d,32,7.308674752,y,g,no_cc,v,1.195900521,f,606,t,t,137473,1
c,25,9.383404568,y,g,no_cc,t,0.7112468434,f,756,t,f,119023,1
a,31,1.812330662,u,p,no_cc,v,0.6069246971,f,459,t,t,28597,0
c,40,0.6649626737,y,g,cc,t,1.516375738,f,630,f,t,149631,1
c,57,7.411206493,y,p,cc,t,0.5052290551,f,524,f,f,83909,0
d,38,5.744731132,y,p,no_cc,v,3.460806708,t,803,f,t,92391,1
a,33,8.418287768,u,g,cc,t,0.3114589907,t,755,t,f,104214,0
d,62,1.397723766,y,p,no_cc,v,2.547110641,t,344,f,f,28263,0
d,35,7.952673119,u,p,cc,v,4.983484269,f,513,f,t,83293,0
d,64,2.0162732,y,p,cc,t,4.069851348,t,358,t,f,132824,0
c,41,1.636559429,y,p,cc,t,3.076097191,t,494,f,f,144933,0
c,43,1.642657979,y,p,cc,v,1.531268104,f,788,t,t,45805,1
c,42,8.145747202,y,g,cc,v,3.119479181,f,456,t,t,111679,0
