A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A14;Class
b;56;5.326172664550231;y;p;no_cc;v;1.9965795790465406;f;835;f;t;135464;1
d;69;2.4247050363472966;u;g;no_cc;t;0.7620800666520872;f;822;t;t;112949;1
a;46;2.6924323094938094;y;p;no_cc;t;4.962417510791876;t;751;f;f;90744;1
c;32;3.7728416310462265;y;g;cc;t;4.635004839621477;t;730;t;f;53455;0
a;60;0.20071197777726368;y;p;cc;v;2.699785651402798;t;832;t;f;135217;1
c;25;3.220791655831783;y;g;no_cc;t;4.210166471882106;t;592;f;f;48018;0
d;38;2.1144800699654462;u;g;cc;t;2.604789886360211;f;400;f;t;74219;0
a;56;3.2749735217791462;y;g;no_cc;v;3.1179284400137988;t;801;f;f;65991;0
b;36;1.1976213181925122;y;p;no_cc;v;0.4456221605800831;t;603;t;f;93616;1
d;40;8.90527280739895;u;p;cc;v;3.7763521024840396;t;839;f;t;107438;0
b;28;5.935924535540487;y;p;cc;v;0.6385674181761741;f;654;f;f;136841;1
b;28;6.791023191444896;y;p;cc;v;4.130338151262642;f;602;f;f;29486;1
b;41;7.891712386073383;y;g;no_cc;t;3.9101404383519296;t;795;t;t;58862;0
d;53;4.984421989290572;y;p;cc;t;3.5437234887148823;t;526;f;t;141662;0
c;57;0.8692028808742369;u;g;cc;v;0.18080190262381057;t;535;t;f;78870;0
b;41;5.371065418185478;y;p;cc;t;1.515641779726643;t;754;t;f;106694;1
d;20;5.868411180208791;u;p;cc;t;1.3155628495542144;f;312;f;f;125996;1
c;39;7.4543947418433;y;p;cc;v;1.8006820373575954;t;509;t;f;63856;0
d;19;4.316595462296794;y;g;no_cc;v;0.4382137338191927;f;696;t;t;121407;1
c;41;1.2758030279556376;u;p;no_cc;v;4.684789115155314;t;399;t;t;120744;0
b;61;2.8377590579872445;u;g;cc;v;2.7690112035618815;f;330;f;f;106055;1
c;47;3.630822963986351;y;g;no_cc;t;1.5276215532901176;t;827;t;f;51379;0
b;55;6.459172413316012;y;g;cc;t;1.984907585371417;t;628;t;t;84729;1
c;19;5.707783046689119;y;g;cc;t;2.236012702524178;f;465;f;f;48378;0
c;38;3.5609672589784624;y;g;cc;v;3.0029716668030866;t;758;t;t;125428;1
a;50;9.865152487929796;y;p;no_cc;v;2.578397138482489;t;399;t;t;74353;0
c;29;6.057748193568871;u;g;cc;v;4.596959866072087;f;472;t;t;69996;0
c;39;2.372267917359945;y;p;no_cc;v;2.484817414529151;t;461;t;t;34031;0
c;61;1.0178247262040374;u;p;cc;t;4.960790074116563;t;562;f;t;100072;0
b;42;1.5285913918433203;y;g;cc;t;4.257124788725479;t;573;t;f;85982;0
b;66;2.459577283845081;y;p;no_cc;t;1.042552571786679;t;302;f;f;56683;0
d;44;1.6068137325955567;u;g;no_cc;t;4.652976073219581;f;327;t;f;134091;1
a;59;1.8656702405130576;y;p;cc;t;0.5818319894273805;t;625;f;t;137797;1
b;45;2.850951686938471;y;g;no_cc;t;4.087248542455958;t;448;f;t;37618;0
a;33;1.7337359529475482;u;p;no_cc;v;1.9031164673829004;f;839;f;f;26587;1
a;32;8.967654246264251;y;g;cc;v;4.389871602225347;t;787;t;t;82790;0
c;64;0.8023374566164221;u;g;no_cc;t;4.340283450537251;f;737;t;f;51480;1
b;68;5.245113895702547;y;g;cc;t;4.029627000588106;f;364;f;f;118530;1
