A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A14,Class
b,56,5.326172664550231,y,p,no_cc,v,1.9965795790465406,f,835,t,t,135464,1
d,69,2.4247050363472966,y,p,cc,t,0.7620800666520872,f,822,t,f,112949,1
c,46,2.6924323094938094,u,p,cc,t,4.962417510791876,f,751,t,t,90744,1
b,32,3.7728416310462265,u,p,no_cc,v,4.635004839621477,t,730,f,f,53455,0
a,60,0.20071197777726368,u,g,cc,t,2.699785651402798,t,832,f,t,135217,1
b,25,3.220791655831783,y,p,cc,v,4.210166471882106,f,592,t,t,48018,0
c,38,2.1144800699654462,u,p,cc,t,2.604789886360211,t,400,t,f,74219,0
b,56,3.2749735217791462,y,g,cc,v,3.1179284400137988,f,801,t,f,65991,1
d,36,1.1976213181925122,u,p,cc,t,0.4456221605800831,f,603,t,t,93616,1
a,40,8.90527280739895,u,p,cc,v,3.7763521024840396,f,839,f,t,107438,1
d,28,5.935924535540487,u,g,no_cc,t,0.6385674181761741,f,654,f,f,136841,1
c,28,6.791023191444896,u,p,cc,t,4.130338151262642,f,602,f,t,29486,1
d,41,7.891712386073383,u,p,no_cc,t,3.9101404383519296,f,795,f,t,58862,0
a,53,4.984421989290572,y,g,cc,v,3.5437234887148823,t,526,t,t,141662,0
a,57,0.8692028808742369,u,g,no_cc,v,0.18080190262381057,f,535,t,f,78870,0
d,41,5.371065418185478,y,g,no_cc,v,1.515641779726643,t,754,f,t,106694,1
b,20,5.868411180208791,u,p,cc,v,1.3155628495542144,t,312,t,t,125996,0
c,39,7.4543947418433,u,p,no_cc,v,1.8006820373575954,t,509,t,f,63856,0
d,19,4.316595462296794,y,g,cc,v,0.4382137338191927,t,696,f,t,121407,1
b,41,1.2758030279556376,y,p,no_cc,t,4.684789115155314,t,399,f,f,120744,0
c,61,2.8377590579872445,u,p,no_cc,v,2.7690112035618815,f,330,f,f,106055,1
c,47,3.630822963986351,y,p,no_cc,v,1.5276215532901176,t,827,t,t,51379,0
a,55,6.459172413316012,y,p,no_cc,t,1.984907585371417,t,628,f,t,84729,1
c,19,5.707783046689119,u,g,cc,v,2.236012702524178,f,465,f,f,48378,0
c,38,3.5609672589784624,u,g,no_cc,v,3.0029716668030866,t,758,f,t,125428,1
a,50,9.865152487929796,u,p,cc,v,2.578397138482489,f,399,f,f,74353,0
b,29,6.057748193568871,y,g,no_cc,v,4.596959866072087,f,472,t,f,69996,0
a,39,2.372267917359945,u,g,no_cc,t,2.484817414529151,t,461,t,t,34031,0
c,61,1.0178247262040374,y,p,cc,t,4.960790074116563,t,562,t,t,100072,0
c,42,1.5285913918433203,u,p,no_cc,v,4.257124788725479,f,573,f,t,85982,1
a,66,2.459577283845081,y,g,cc,v,1.042552571786679,f,302,f,f,56683,0
c,44,1.6068137325955567,y,g,cc,t,4.652976073219581,f,327,t,t,134091,1
d,59,1.8656702405130576,u,p,cc,t,0.5818319894273805,f,625,f,f,137797,1
d,45,2.850951686938471,y,p,no_cc,v,4.087248542455958,t,448,f,t,37618,0
c,33,1.7337359529475482,u,g,cc,v,1.9031164673829004,t,839,f,t,26587,0
d,32,8.967654246264251,u,g,no_cc,t,4.389871602225347,t,787,t,t,82790,0
a,64,0.8023374566164221,u,g,no_cc,t,4.340283450537251,t,737,f,f,51480,0
c,68,5.245113895702547,u,g,no_cc,v,4.029627000588106,t,364,f,f,118530,0
c,61,4.103968269896615,y,g,cc,v,3.950152181535307,t,655,f,t,40527,0
b,69,9.823786169086064,y,g,no_cc,v,1.523395695490204,t,832,f,f,43569,0
c,20,1.1203890216805235,u,g,no_cc,v,0.4045964152562609,t,551,f,t,31151,0
c,54,3.9785559904574166,y,g,cc,v,2.014900893825807,f,534,f,t,91094,1
b,68,9.69470433275369,u,p,no_cc,t,0.8676225749325434,t,526,t,f,79174,0
b,24,8.655071258939802,u,g,cc,v,3.4747554445123088,t,824,t,t,64739,0
d,38,8.1707207094928,u,g,no_cc,t,1.7304986326889278,f,612,f,f,52954,0
b,26,2.579028270449398,y,p,cc,t,4.878051004299574,t,348,f,t,132984,0
a,56,1.7088758739006582,y,g,no_cc,t,3.20486038672666,f,417,t,t,132863,1
d,35,6.68643219924431,y,g,no_cc,t,4.112402818171804,t,353,t,f,129373,0
b,21,9.293759891275858,u,g,no_cc,t,0.6626233637092421,t,343,t,t,55303,0
a,42,5.567628930139298,u,g,no_cc,t,4.310072411363112,f,352,t,f,54700,0
a,31,5.7161268946989985,u,g,no_cc,v,4.613785952566972,f,824,t,t,113036,1
d,67,2.7997909366028417,u,p,cc,t,2.4353095940946794,f,401,f,f,143728,1
d,26,7.694929331919369,u,p,no_cc,v,3.031264688754887,f,697,t,f,87568,1
d,43,1.8704374855752337,u,p,no_cc,v,3.8240490045149773,t,437,t,t,86788,0
a,19,3.2367923640424365,u,p,cc,t,0.8741931363020627,f,686,f,t,91045,1
d,37,4.254364386164168,u,g,cc,v,2.5128303823172122,t,410,t,f,57842,0
a,45,5.07610378684455,u,g,cc,v,1.9933151388615655,f,316,f,f,33900,0
b,64,2.4240973241508024,u,g,no_cc,t,0.7318699608112456,t,481,t,f,147992,0
a,24,1.1483682473920354,u,p,no_cc,t,1.8376721114576573,t,835,t,t,100059,1
