A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A14,Class
a,56,5.326172664550231,y,g,no_cc,t,1.9965795790465406,t,835,f,f,135464,1
a,69,2.4247050363472966,y,g,cc,t,0.7620800666520872,f,822,t,t,112949,1
d,46,2.6924323094938094,u,p,cc,t,4.962417510791876,f,751,t,t,90744,1
d,32,3.7728416310462265,u,g,no_cc,v,4.635004839621477,t,730,t,f,53455,0
d,60,0.20071197777726368,y,p,no_cc,t,2.699785651402798,t,832,f,t,135217,1
d,25,3.220791655831783,u,g,cc,v,4.210166471882106,f,592,t,t,48018,0
d,38,2.1144800699654462,y,g,no_cc,t,2.604789886360211,f,400,t,t,74219,0
b,56,3.2749735217791462,y,g,no_cc,t,3.1179284400137988,t,801,f,t,65991,0
a,36,1.1976213181925122,u,p,cc,v,0.4456221605800831,f,603,t,f,93616,1
c,40,8.90527280739895,u,p,no_cc,v,3.7763521024840396,t,839,t,f,107438,0
b,28,5.935924535540487,y,p,cc,v,0.6385674181761741,t,654,t,t,136841,1
d,28,?,u,p,cc,t,,t,602,t,f,29486,0
c,41,7.891712386073383,y,p,cc,v,3.9101404383519296,t,795,t,t,58862,0
a,53,4.984421989290572,y,p,cc,v,3.5437234887148823,f,526,f,f,141662,1
c,57,0.8692028808742369,y,p,cc,v,0.18080190262381057,t,535,t,t,78870,0
b,41,5.371065418185478,y,g,no_cc,t,1.515641779726643,t,754,t,f,106694,1
b,20,5.868411180208791,u,p,cc,v,1.3155628495542144,f,312,f,t,125996,1
c,39,7.4543947418433,y,g,cc,v,1.8006820373575954,f,509,f,f,63856,0
c,19,4.316595462296794,y,p,no_cc,v,0.4382137338191927,t,696,f,f,121407,1
b,41,1.2758030279556376,y,g,cc,t,4.684789115155314,f,399,f,t,120744,1
b,61,2.8377590579872445,y,g,no_cc,t,2.7690112035618815,t,330,t,f,106055,0
d,47,3.630822963986351,y,g,no_cc,v,1.5276215532901176,t,827,f,f,51379,?
d,55,6.459172413316012,y,p,no_cc,v,1.984907585371417,f,628,t,f,84729,1
b,19,5.707783046689119,y,p,no_cc,v,2.236012702524178,t,465,f,t,48378,0
b,38,3.5609672589784624,u,g,no_cc,v,3.0029716668030866,f,758,t,t,125428,1
d,50,9.865152487929796,u,p,cc,v,2.578397138482489,t,399,f,f,74353,0
d,29,6.057748193568871,u,g,cc,t,4.596959866072087,t,472,t,t,69996,0
a,39,2.372267917359945,u,g,no_cc,v,2.484817414529151,t,461,t,f,34031,0
c,61,1.0178247262040374,y,g,no_cc,t,4.960790074116563,f,562,t,f,100072,1
b,42,1.5285913918433203,?,g,no_cc,v,4.257124788725479,f,573,t,t,85982,1
a,66,2.459577283845081,y,p,cc,v,1.042552571786679,t,302,t,t,56683,0
a,44,1.6068137325955567,u,g,cc,t,4.652976073219581,t,327,f,t,134091,0
d,59,1.8656702405130576,u,p,no_cc,v,0.5818319894273805,t,625,t,t,137797,1
d,45,2.850951686938471,y,p,cc,t,4.087248542455958,t,448,f,f,37618,0
a,33,1.7337359529475482,u,g,no_cc,t,1.9031164673829004,t,839,t,f,26587,0
b,32,8.967654246264251,y,p,no_cc,v,4.389871602225347,f,787,t,f,82790,1
b,64,0.8023374566164221,y,p,cc,t,4.340283450537251,f,737,f,t,51480,1
a,68,5.245113895702547,y,g,no_cc,v,4.029627000588106,f,364,t,t,118530,1
a,61,4.103968269896615,u,g,no_cc,v,3.950152181535307,t,655,f,?,40527,0
c,69,9.823786169086064,u,p,cc,t,1.523395695490204,f,832,t,f,43569,0
c,20,1.1203890216805235,y,p,no_cc,v,0.4045964152562609,t,551,f,t,31151,0
c,54,3.9785559904574166,y,g,cc,v,2.014900893825807,f,534,t,f,91094,1
a,68,9.69470433275369,y,g,cc,t,0.8676225749325434,f,526,t,f,79174,0
b,24,8.655071258939802,y,g,no_cc,v,3.4747554445123088,t,824,t,f,64739,0
a,38,8.1707207094928,u,g,cc,v,1.7304986326889278,t,612,t,f,52954,0
b,26,2.579028270449398,y,p,no_cc,v,4.878051004299574,f,348,t,f,132984,1
c,56,1.7088758739006582,u,g,cc,v,3.20486038672666,f,417,t,f,132863,1
c,35,6.68643219924431,u,p,no_cc,v,4.112402818171804,f,353,t,f,129373,1
a,21,9.293759891275858,y,p,no_cc,t,0.6626233637092421,t,343,f,f,55303,0
a,42,5.567628930139298,u,p,cc,v,4.310072411363112,t,352,t,t,54700,0
c,31,5.7161268946989985,y,p,cc,v,4.613785952566972,f,824,t,f,113036,1
c,67,2.7997909366028417,y,p,cc,v,2.4353095940946794,t,401,t,t,143728,0
c,26,7.694929331919369,y,g,cc,v,3.031264688754887,t,697,t,f,87568,0
c,43,1.8704374855752337,u,p,cc,t,3.8240490045149773,t,437,f,t,86788,0
d,19,3.2367923640424365,u,p,no_cc,t,0.8741931363020627,t,686,f,f,91045,1
c,37,4.254364386164168,u,g,no_cc,v,2.5128303823172122,t,410,f,f,57842,0
a,45,5.07610378684455,y,p,cc,v,1.9933151388615655,t,316,f,t,33900,0
a,64,2.4240973241508024,u,p,cc,t,0.7318699608112456,f,481,f,t,147992,1
c,24,1.1483682473920354,y,p,cc,v,1.8376721114576573,t,835,t,t,100059,1
d,61,6.1062004244163255,u,g,cc,v,0.34086154692746784,f,840,t,f,21881,1
a,25,2.8863055324025577,y,g,no_cc,v,0.12905953474743492,f,470,t,f,53037,0
c,64,5.812382214226123,y,p,no_cc,t,0.6758314457741138,t,708,t,f,21630,0
d,52,1.5436271527420231,y,g,no_cc,v,4.815575557945869,t,677,f,f,40789,0
a,31,4.811401018548175,y,p,cc,v,2.747647679475085,t,487,f,t,146083,0
b,34,5.325894325515859,y,g,no_cc,t,4.8291108057661,f,529,t,f,108059,1
d,53,0.5182353682242691,y,p,cc,t,2.16248939165066,f,418,f,f,103494,1
b,67,3.366042781939206,u,g,no_cc,t,1.5590806654262979,f,455,t,f,66151,0
b,57,1.3441467693897424,y,g,cc,v,2.5307093142012205,t,764,t,t,68920,0
b,21,0.6337497047276774,y,p,cc,v,2.1975584431645507,f,403,t,t,129388,1
b,19,9.899602323899453,u,g,cc,v,0.5283234213087196,t,801,f,f,87231,0
a,23,3.2235384497472297,y,p,no_cc,t,3.204131573451031,t,474,t,f,137946,0
c,59,8.09874445854635,u,p,cc,v,1.080190912547998,t,720,t,f,100357,0
b,21,2.5464065476376385,y,p,no_cc,v,3.0979397744891477,t,433,t,,23262,0
a,46,6.8150272222392925,u,p,no_cc,v,3.2510054619907667,f,690,f,f,86981,1
c,35,7.6022785988968655,u,g,cc,v,0.7601242656432405,t,800,t,t,140951,0
a,43,5.956387406078443,y,g,no_cc,t,0.3067481355533408,t,332,f,t,143099,0
b,61,4.715761885501584,u,p,cc,v,3.9038079303421993,t,354,f,f,101972,0
a,,4.118409141472686,u,p,no_cc,t,2.2990021188466008,f,818,f,f,95485,1
b,27,3.4886826654299528,u,g,no_cc,t,0.29081897752737895,f,311,f,f,74722,0
a,53,9.29529144247826,y,p,no_cc,t,4.9743315858488355,f,827,t,f,109499,1
b,31,8.306194077877292,y,p,no_cc,t,0.2889028049818332,t,672,f,f,70818,0
a,48,9.650269106665126,y,p,no_cc,t,3.475176144292766,f,783,t,f,49932,0
a,65,1.2429722348554473,u,g,cc,v,4.918394626317068,t,527,t,f,26901,0
b,32,7.308674752036443,y,g,cc,v,1.195900521079628,t,606,f,t,137473,0
d,25,9.383404568210379,y,g,cc,t,0.7112468434359809,t,756,f,f,119023,0
d,31,1.8123306616566015,y,p,cc,v,0.6069246971121445,t,459,t,f,28597,0
b,40,0.664962673667775,y,g,cc,t,1.5163757378379779,t,630,t,t,149631,1
c,57,7.4112064929005905,y,p,cc,t,0.5052290550532335,f,524,t,t,83909,0
c,38,5.744731131799119,y,g,cc,t,3.4608067084706597,t,803,t,t,92391,1
c,33,8.41828776758272,y,g,cc,v,0.31145899065031346,f,755,t,t,104214,1
b,62,1.397723766262895,u,g,no_cc,t,2.5471106407489486,t,344,t,f,28263,0
c,35,7.952673118598902,y,g,no_cc,v,4.983484269264884,t,513,f,f,83293,0
b,64,2.0162732004774453,y,g,cc,t,4.069851347530094,f,358,f,t,132824,1
c,41,1.636559428657045,y,p,cc,t,3.0760971911550543,f,494,f,f,144933,1
c,43,1.6426579793099294,y,g,no_cc,t,1.5312681039330585,f,788,f,f,45805,1
b,42,8.14574720231382,y,p,cc,t,3.1194791814581926,f,456,t,f,111679,0
d,62,6.651972206962001,y,g,cc,v,2.6352073195582584,f,525,f,f,31874,0
d,58,5.230654247691193,y,g,cc,v,2.130416919451857,f,711,t,t,113065,1
b,46,3.5883048412350247,u,p,cc,v,0.6535518837009974,f,504,f,f,106402,1
a,32,8.772005408131083,u,p,cc,v,4.433021076202333,t,378,f,f,34079,0
a,62,3.924451074226354,y,p,no_cc,t,2.2489232441066127,t,423,f,t,69850,0
b,18,8.16599439471577,y,g,no_cc,v,0.9731125591038253,f,770,t,f,92779,1
a,42,4.391349085702184,u,g,no_cc,t,1.838796754386448,t,517,t,t,115408,0
b,24,3.769444294249076,u,g,cc,v,2.0706487626446353,f,815,t,t,29018,1
d,26,4.626797856696064,u,g,cc,v,4.137689477834371,f,403,t,f,140606,1
b,41,3.0137787416414206,y,p,cc,v,3.6680719028070103,f,692,f,t,69500,1
d,18,7.476093801762511,y,p,no_cc,v,3.846524468206699,t,733,f,t,140062,0
a,61,5.027203900924792,y,g,no_cc,v,0.05515632214323607,f,630,f,t,32100,1
c,25,2.322126951468173,u,g,no_cc,v,2.0807699908988075,t,442,f,f,77021,0
a,41,8.995745732745684,y,g,no_cc,v,2.4067207581766183,t,839,f,t,134995,0
b,28,3.8389122137321143,u,g,no_cc,v,0.09596138411528343,t,577,t,f,39800,0
d,68,5.435528611139886,u,p,cc,v,1.299066043725171,t,532,f,f,148126,0
b,34,9.06472110964547,y,p,no_cc,t,3.801449115610675,f,828,f,t,83400,1
c,25,6.242379959139921,u,g,no_cc,v,0.6855485286449953,f,389,t,f,112446,1
a,52,1.1689804070836407,u,p,cc,t,2.6765506572629585,t,791,f,t,49437,0
a,52,9.398321236134752,u,p,cc,v,1.0760093600861875,f,498,f,t,123124,0
a,50,6.277080530714178,y,g,no_cc,v,0.060603873219466364,f,661,t,t,96537,1
b,22,3.3490561465708613,y,g,no_cc,t,1.2060072879977075,t,740,t,f,66675,0
c,59,1.3927207266338726,u,p,cc,v,4.879368774550269,f,325,t,t,39942,0
d,56,7.9402518927029595,u,p,no_cc,t,4.007685559414948,f,324,t,t,40862,0
d,58,6.200727559285135,u,p,no_cc,v,4.797883221605167,t,693,f,t,31669,0
a,45,5.334610919763215,y,g,cc,v,2.4392702196318123,t,806,t,f,141219,1
d,24,8.938925830509577,u,g,cc,t,0.5486809933875175,f,600,t,t,73772,0
d,26,7.885972112245307,y,p,no_cc,t,2.739797444868465,t,638,f,f,35916,0
b,25,1.5167487973275118,u,p,no_cc,t,2.2718866727998046,t,566,t,f,30878,0
a,29,3.1172206779554825,u,p,no_cc,t,4.22178541369808,f,760,t,t,22985,1
b,51,2.4848913981446574,y,p,cc,v,0.49041290392122294,f,755,f,t,117905,1
b,50,7.43946292572677,u,g,no_cc,v,2.441205685108891,f,659,t,t,93648,1
d,65,0.3353243473577938,u,p,cc,v,0.7502433234699213,f,367,f,t,61235,0
d,40,5.698896848713165,y,g,no_cc,t,1.6233796344502998,f,711,t,f,38931,1
c,41,7.624586857406905,y,p,cc,v,3.686785386938998,f,790,t,t,112876,1
d,54,8.767656367617494,y,p,no_cc,v,2.3800906468438328,f,348,f,t,20336,0
d,52,3.4208174871590744,y,p,no_cc,v,1.8794414257288468,t,401,t,t,62933,0
d,61,8.212573046720129,y,p,no_cc,t,1.9723813928501766,t,515,t,t,104899,0
a,57,1.1063173695520723,y,g,no_cc,t,2.297233842029933,f,737,t,t,65536,1
c,39,8.464522917345182,u,g,no_cc,t,3.9250827191852844,f,458,t,t,89504,0
d,44,1.2748866233198242,u,p,cc,t,4.460423444701172,t,788,f,t,119214,1
a,52,3.9728729056036727,u,g,no_cc,t,4.776673432519641,f,541,f,f,71148,0
b,18,7.972953657795536,u,p,no_cc,t,3.9345169312764754,t,304,t,f,133936,0
d,52,1.4991742734877378,u,g,cc,v,1.5770344787400636,t,660,f,f,36279,0
d,54,2.2925139523264146,u,p,cc,t,3.4406735304327105,f,758,f,f,88665,1
d,64,7.222525683930662,y,g,no_cc,v,2.1880156202769596,f,547,t,t,123751,0
a,31,7.200365365460744,y,g,no_cc,t,1.2733531102302558,f,721,f,f,124433,1
b,20,6.411476328852973,y,p,no_cc,v,4.204357897129613,f,314,t,t,91386,1
d,18,6.939484444671001,y,g,no_cc,t,0.19213174481162498,t,421,f,t,106124,0
c,22,5.427244433475962,u,g,cc,t,4.508809960677118,f,576,f,f,125750,1
d,43,2.5179905890695276,u,g,cc,t,2.307387323123671,f,752,t,f,97485,1
a,31,3.4569599350391944,u,p,cc,v,3.1860073840414023,t,689,f,f,94055,1
b,56,1.8159771680142567,u,p,cc,v,3.2967696110289135,t,593,t,f,111911,0
d,44,9.084505613336283,u,g,cc,v,4.475588703532682,t,745,f,t,118618,0
a,26,5.833917947661204,u,p,cc,v,3.183348410836037,f,509,t,f,97273,1
c,32,4.008514167636399,y,p,no_cc,t,3.069667923800309,f,601,f,f,86670,1
c,32,4.620058036441327,u,p,cc,v,0.3332602028034498,f,522,t,f,96474,1
c,43,9.472833396118153,u,g,no_cc,v,2.59204010972602,t,302,f,f,74028,0
b,59,1.533514031160802,y,g,cc,t,0.7508450040852083,f,817,t,f,110022,1
d,30,5.862298320167972,y,p,no_cc,v,3.687168843607428,f,392,f,t,133892,1
b,68,5.05888678884466,y,g,cc,t,2.5611096040633723,t,819,f,f,111632,1
a,49,6.1145423543464785,u,g,no_cc,v,3.4011388960417666,t,727,t,f,126651,1
b,56,0.18110183820840509,u,p,cc,t,0.20836450301192133,f,792,f,f,91128,1
