A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A14;Class
b;56;5.326.172.664.550.230;;p;no_cc;v;;f;835;f;t;135464;1
d;69;24.247.050.363.472.900;u;g;no_cc;t;0.7620800666520872;f;822;t;t;112949;1
a;46;26.924.323.094.938.000;y;p;no_cc;t;4.962.417.510.791.870;t;751;f;f;90744;1
c;32;37.728.416.310.462.200;y;g;;t;4.635.004.839.621.470;t;730;t;f;53455;0
a;60;0.20071197777726368;y;p;cc;v;2.699.785.651.402.790;t;832;t;f;135217;1
c;25;3.220.791.655.831.780;y;g;no_cc;t;4.210.166.471.882.100;t;592;f;f;48018;0
d;38;21.144.800.699.654.400;u;g;cc;t;2.604.789.886.360.210;f;400;f;t;74219;0
a;56;32.749.735.217.791.400;y;g;;v;31.179.284.400.137.900;t;801;f;f;65991;0
b;36;11.976.213.181.925.100;y;p;no_cc;v;0.4456221605800831;t;?;?;f;93616;1
d;40;890.527.280.739.895;u;p;cc;v;37.763.521.024.840.300;t;839;f;t;107438;0
b;28;5.935.924.535.540.480;y;p;cc;v;0.6385674181761741;f;654;f;f;136841;1
b;28;6.791.023.191.444.890;y;p;cc;v;4.130.338.151.262.640;f;602;f;f;29486;1
b;41;7.891.712.386.073.380;y;g;no_cc;t;39.101.404.383.519.200;t;795;t;t;58862;0
d;53;4.984.421.989.290.570;y;p;cc;t;35.437.234.887.148.800;t;;f;t;141662;0
c;57;0.8692028808742369;u;g;cc;v;0.18080190262381057;t;535;t;f;78870;0
b;41;5.371.065.418.185.470;y;p;cc;t;1.515.641.779.726.640;t;754;t;f;106694;1
d;20;5.868.411.180.208.790;u;p;;t;13.155.628.495.542.100;f;312;f;f;125996;1
c;39;74.543.947.418.433;y;p;cc;v;18.006.820.373.575.900;t;509;t;f;63856;0
d;19;4.316.595.462.296.790;y;g;no_cc;v;0.4382137338191927;f;;;t;121407;1
c;41;12.758.030.279.556.300;u;p;no_cc;v;4.684.789.115.155.310;t;399;t;t;120744;0
b;61;28.377.590.579.872.400;u;g;cc;v;27.690.112.035.618.800;f;330;f;f;106055;1
c;47;3.630.822.963.986.350;y;g;no_cc;t;15.276.215.532.901.100;t;827;t;f;51379;0
b;55;6.459.172.413.316.010;y;g;cc;t;1.984.907.585.371.410;t;628;?;t;84729;1
c;19;5.707.783.046.689.110;y;g;cc;t;2.236.012.702.524.170;f;465;f;f;48378;0
c;38;35.609.672.589.784.600;y;g;cc;v;30.029.716.668.030.800;t;758;t;t;125428;1
a;50;9.865.152.487.929.790;y;p;no_cc;v;2.578.397.138.482.480;t;399;t;t;74353;0
